sulfdm	inc	incsqr	pwtopen	polity	lareapc	country	oecd
11	9.578104	91.74007	34.43	10	6.102403	Australia	1
14	9.448963	89.28291	79.18	10	2.372805	Austria		1
20	9.490394	90.06757	144.96	10	1.191758	Belgium		1
39	8.732788	76.26159	123.69	8	2.509244	Bulgaria	0
86	8.304495	68.96464	12.66	8	4.038464	Brazil		0
13.66667	9.751094	95.08383	51.24	10	5.851261	Canada	1
11	9.711419	94.31166	72.73	10	1.779216	Switzerland	1
29	8.375169	70.14346	65.46	8	4.040303	Chile		0
112.625	7.188413	51.67327	25.42	-7	2.107378	China		0
12.33333	9.590693	91.98138	58.03	10	1.729588	Germany	1
7	9.540292	91.01717	65.26	10	2.125579	Denmark		1
23	7.921173	62.74498	60.12	9	3.267598	Ecuador		0
69	7.555905	57.0917	65.05	-3	2.943792	Egypt 			0
11	9.167746	84.04756	37.52	10	2.550978	Spain		1
4	9.551018	91.22194	47.67	10	4.112398	Finland		1
14	9.539932	91.01031	45.16	9	2.271709	France		1
20	9.489259	90.04603	51.48	10	1.437048	UnitedKingdom	1
34	8.819961	77.7917	54.16	10	2.559242	Greece			1
39	8.58616	73.72214	60.67	10	2.169067	Hungary			1
23.33333	7.142036	51.00869	18.76	8	1.252725	India	0
20	9.13497	83.44767	114.6	10	2.978891	Ireland			1
209	8.129175	66.08349	33.26	-6	3.378612	IranIslamicRep	0
5	9.50017	90.25323	69.43	10	5.974159	Iceland		1
31	9.432524	88.9725	41.46	10	1.629203	Italy		1
45.66667	9.57018	91.58834	20.92	10	1.11443	Japan		1
61.66667	8.805825	77.54256	62.48	6	.8342399	KoreaRep	1
74	8.670258	75.17336	32.72	0	3.150825	Mexico	0
24	8.541691	72.96048	154.2	4	2.917571	Malaysia	0
10	9.474933	89.77435	103.72	10	.8191597	Netherlands	1
8	9.609251	92.33771	81.11	10	4.281259	Norway	1
3	9.351233	87.44555	55.34	10	4.380651	NewZealand	1
33	7.474772	55.87222	61.48	8	1.585071	Philippines	0
40	8.248006	68.0296	45.84	5	2.077827	Poland	1
8	8.919721	79.56142	75.2	10	2.231948	Portugal	1
20	9.368198	87.76314	373.26	-2	-1.489398	Singapore	0
5	9.599812	92.15638	59.46	10	3.873117	Sweden	1
11	8.183118	66.96342	75.83	3	2.205406	Thailand	0
87.5	8.227108	67.6853	41.99	9	2.61881	Turkey	1
16.33333	9.801123	96.062	21.5	10	3.600374	UnitedStates	1
33	8.70864	75.84042	59.64	9	3.820849	Venezuela	0
23.66667	8.085794	65.38007	47.22	5	3.470952	SouthAfrica	0
