"wage"	"education"	"experience"	"age"	"married"	"south"	"manufacture"	"female"
5.1	8	21	35	1	0	1	1
4.95	9	42	57	1	0	1	1
6.67	12	1	19	0	0	1	0
4	12	4	22	0	0	0	0
7.5	12	17	35	1	0	0	0
13.07	13	9	28	0	0	0	0
4.45	10	27	43	0	1	0	0
19.47	12	9	27	0	0	0	0
13.28	16	11	33	1	0	1	0
8.75	12	9	27	0	0	0	0
11.35	12	17	35	1	0	0	0
11.5	12	19	37	0	0	1	0
6.5	8	27	41	1	1	0	0
6.25	9	30	45	0	1	0	0
19.98	9	29	44	1	1	0	0
7.3	12	37	55	1	0	0	0
8	7	44	57	1	1	0	0
22.2	12	26	44	1	0	1	0
3.65	11	16	33	0	0	0	0
20.55	12	33	51	1	0	0	0
5.71	12	16	34	1	0	1	1
7	7	42	55	1	0	1	0
3.75	12	9	27	0	0	0	0
4.5	11	14	31	1	1	0	0
9.56	12	23	41	1	0	0	0
5.75	6	45	57	1	1	1	0
9.36	12	8	26	1	0	1	0
6.5	10	30	46	1	0	0	0
3.35	12	8	26	1	0	1	1
4.75	12	8	26	1	0	0	0
8.9	14	13	33	0	0	0	0
4	12	46	64	0	1	0	1
4.7	8	19	33	1	0	0	0
5	17	1	24	0	1	0	1
9.25	12	19	37	0	0	1	0
10.67	12	36	54	0	0	0	0
7.61	12	20	38	1	1	0	0
10	12	35	53	1	0	0	0
7.5	12	3	21	0	0	0	0
12.2	14	10	30	1	1	1	0
3.35	12	0	18	0	0	0	0
11	14	14	34	1	1	1	0
12	12	14	32	1	0	1	0
4.85	9	16	31	1	0	1	1
4.3	13	8	27	0	1	0	0
6	7	15	28	1	1	1	1
15	16	12	34	1	0	1	0
4.85	10	13	29	0	1	0	0
9	8	33	47	1	0	0	0
6.36	12	9	27	1	0	1	0
9.15	12	7	25	1	0	0	0
11	16	13	35	1	0	1	0
4.5	12	7	25	1	0	1	1
4.8	12	16	34	1	0	1	1
4	13	0	19	0	0	0	0
5.5	12	11	29	0	0	1	1
8.4	13	17	36	0	0	1	0
6.75	10	13	29	1	0	1	0
10	12	22	40	0	0	1	0
5	12	28	46	1	0	1	1
6.5	11	17	34	0	0	0	0
10.75	12	24	42	1	0	0	0
7	3	55	64	1	1	1	0
11.43	12	3	21	0	1	0	0
4	12	6	24	0	0	1	0
9	10	27	43	1	0	0	0
13	12	19	37	1	1	1	0
12.22	12	19	37	1	0	0	0
6.28	12	38	56	1	0	1	1
6.75	10	41	57	1	1	1	0
3.35	11	3	20	0	1	1	0
16	14	20	40	1	0	0	0
5.25	10	15	31	1	0	0	0
3.5	8	8	22	1	1	1	0
4.22	8	39	53	1	1	1	1
3	6	43	55	1	0	1	1
4	11	25	42	1	1	1	1
10	12	11	29	1	0	0	0
5	12	12	30	1	0	0	0
16	12	35	53	1	1	1	0
13.98	14	14	34	0	0	0	0
13.26	12	16	34	1	0	0	0
6.1	10	44	60	0	0	1	1
3.75	16	13	35	0	1	0	1
9	13	8	27	0	0	1	0
9.45	12	13	31	0	0	1	0
5.5	11	18	35	1	0	0	0
8.93	12	18	36	1	0	0	1
6.25	12	6	24	0	1	0	1
9.75	11	37	54	1	1	1	0
6.73	12	2	20	1	1	1	0
7.78	12	23	41	1	0	1	0
2.85	12	1	19	0	0	0	0
3.35	12	10	28	1	1	1	1
19.98	12	23	41	1	0	1	0
8.5	12	8	26	1	0	0	0
9.75	15	9	30	1	0	1	1
15	12	33	51	1	0	0	0
8	12	19	37	1	0	1	1
11.25	13	14	33	1	0	0	0
14	11	13	30	1	0	0	0
10	10	12	28	1	0	0	0
6.5	12	8	26	0	0	0	0
9.83	12	23	41	1	0	1	0
18.5	14	13	33	0	0	1	1
12.5	12	9	27	1	1	0	0
26	14	21	41	1	0	0	0
14	5	44	55	1	1	0	0
10.5	12	4	22	1	0	0	0
11	8	42	56	1	0	1	0
12.47	13	10	29	1	0	0	0
12.5	12	11	29	0	0	0	0
15	12	40	58	1	0	0	0
6	12	8	26	0	0	0	0
9.5	11	29	46	1	1	0	0
5	16	3	25	0	0	0	0
3.75	11	11	28	0	0	0	0
12.57	12	12	30	1	0	0	0
6.88	8	22	36	1	0	0	1
5.5	12	12	30	1	0	0	0
7	12	7	25	1	0	0	0
4.5	12	15	33	0	0	1	1
6.5	12	28	46	1	0	0	0
12	12	20	38	1	1	1	0
5	12	6	24	0	1	0	0
6.5	12	5	23	0	1	1	0
6.8	9	30	45	1	1	1	1
8.75	13	18	37	1	0	0	0
3.75	12	6	24	1	1	1	1
4.5	12	16	34	0	1	0	0
6	12	1	19	0	1	0	0
5.5	12	3	21	0	0	1	0
13	12	8	26	1	0	0	0
5.65	14	2	22	0	0	1	0
4.8	9	16	31	0	0	1	0
7	10	9	25	1	1	0	0
5.25	12	2	20	0	0	0	0
3.35	7	43	56	1	1	1	0
8.5	9	38	53	1	0	1	0
6	12	9	27	1	0	0	0
6.75	12	12	30	1	1	0	0
8.89	12	18	36	1	0	1	0
14.21	11	15	32	0	0	1	0
10.78	11	28	45	1	1	0	0
8.9	10	27	43	1	1	0	0
7.5	12	38	56	1	1	0	0
4.5	12	3	21	0	0	1	1
11.25	12	41	59	1	0	0	0
13.45	12	16	34	1	1	0	0
6	13	7	26	1	1	1	0
4.62	6	33	45	0	1	1	1
10.58	14	25	45	1	0	1	0
5	12	5	23	1	1	0	0
8.2	14	17	37	0	1	0	0
6.25	12	1	19	0	1	0	0
8.5	12	13	31	1	0	1	0
24.98	16	18	40	1	0	0	0
16.65	14	21	41	1	1	0	0
6.25	14	2	22	0	0	0	0
4.55	12	4	22	0	1	0	1
11.25	12	30	48	1	1	0	1
21.25	13	32	51	0	0	0	0
12.65	17	13	36	1	0	0	1
7.5	12	17	35	0	0	0	0
10.25	14	26	46	1	0	0	1
3.35	16	9	31	0	0	0	0
13.45	16	8	30	0	0	0	0
4.84	15	1	22	1	0	0	0
26.29	17	32	55	1	1	0	0
6.58	12	24	42	1	0	0	1
44.5	14	1	21	0	0	0	1
15	12	42	60	1	0	1	0
11.25	16	3	25	0	0	1	1
7	12	32	50	1	0	0	1
10	14	22	42	0	0	0	0
14.53	16	18	40	1	0	0	0
20	18	19	43	1	0	0	1
22.5	15	12	33	1	0	0	0
3.64	12	42	60	1	0	0	1
10.62	12	34	52	1	1	0	0
24.98	18	29	53	1	0	0	0
6	16	8	30	0	1	0	0
19	18	13	37	0	0	1	0
13.2	16	10	32	0	0	0	0
22.5	16	22	44	1	0	0	0
15	16	10	32	1	1	0	0
6.88	17	15	38	1	0	0	1
11.84	12	26	44	1	0	0	0
16.14	14	16	36	0	0	0	0
13.95	18	14	38	1	0	0	1
13.16	12	38	56	1	0	0	1
5.3	12	14	32	1	1	0	0
4.5	12	7	25	1	0	0	1
10	18	13	37	0	1	0	1
10	10	20	36	1	0	0	0
10	16	7	29	1	0	0	0
9.37	16	26	48	1	0	0	1
5.8	16	14	36	1	0	0	0
17.86	13	36	55	0	0	0	0
1	12	24	42	1	0	0	0
8.8	14	41	61	1	1	0	0
9	16	7	29	1	0	0	0
18.16	17	14	37	0	1	0	0
7.81	12	1	19	0	1	0	1
10.62	16	6	28	1	0	1	1
4.5	12	3	21	1	0	0	1
17.25	15	31	52	1	0	0	0
10.5	13	14	33	1	0	1	1
9.22	14	13	33	1	0	0	1
15	16	26	48	1	0	1	0
22.5	18	14	38	1	0	0	0
